epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,CM,1.1153425,0.9343692,-0.93529654,1.3236889,2.8045852,True,False
1,CM,1.1067933,0.9328107,-0.933735,1.3214911,2.799999,True,False
2,CM,1.1030748,0.93216777,-0.9330898,1.3214371,2.7979927,True,False
3,CM,1.099885,0.9318646,-0.9327856,1.321924,2.7969816,True,False
4,CM,1.097026,0.93173623,-0.93265647,1.3227506,2.79652,True,False
5,CM,1.0944128,0.93171453,-0.93263364,1.3237841,2.7964017,True,False
6,CM,1.091997,0.9317625,-0.9326816,1.3249485,2.796518,False,True
