epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,DCM,0.36271808,0.26335514,-0.2634516,1.3224561,1.3165276,True,False
1,DCM,0.30014822,0.2549547,-0.25503874,1.3096471,1.3042186,True,False
2,DCM,0.2883816,0.2518516,-0.2519276,1.3047642,1.299558,True,False
3,DCM,0.27883163,0.25058284,-0.25065443,1.3026944,1.2976052,True,False
4,DCM,0.2705338,0.25019553,-0.25026459,1.301949,1.2969345,True,False
5,DCM,0.26310933,0.25027078,-0.2503391,1.3018887,1.2969316,False,True
