epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,RCTR,0.39709207,0.29360318,-0.29369202,1.362087,1.362087,True,False
1,RCTR,0.31749243,0.2930707,-0.2931609,1.3614453,1.3614453,True,False
2,RCTR,0.31747663,0.29304093,-0.293131,1.3614063,1.3614063,True,False
3,RCTR,0.31747738,0.2930131,-0.29310334,1.3613838,1.3613838,True,False
4,RCTR,0.31747755,0.2930057,-0.29309592,1.361379,1.361379,False,True
