epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,DCTR,0.44275966,0.2730353,-0.27313483,1.3291718,1.3291718,True,False
1,DCTR,0.30608273,0.26163253,-0.26171723,1.3127598,1.3127598,True,False
2,DCTR,0.29320416,0.25759128,-0.2576675,1.3067067,1.3067067,True,False
3,DCTR,0.28297675,0.25597882,-0.25605083,1.3042226,1.3042226,True,False
4,DCTR,0.27420795,0.2554451,-0.255515,1.3033335,1.3033335,True,False
5,DCTR,0.26642862,0.25544825,-0.2555175,1.3032312,1.3032312,False,True
