epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,SDBN,0.3617013,0.26158264,-0.26168725,1.318292,1.3134655,True,False
1,SDBN,0.2992079,0.2529387,-0.25303265,1.3067029,1.3010746,True,False
2,SDBN,0.28630984,0.24961445,-0.24970144,1.3020781,1.2962496,True,False
3,SDBN,0.27575165,0.24825929,-0.24834274,1.3001217,1.294261,True,False
4,SDBN,0.26656768,0.24783592,-0.24791797,1.2994369,1.2936007,True,False
5,SDBN,0.25835502,0.24789497,-0.24797665,1.2994025,1.2936203,False,True
