epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,DBN,0.2977184,0.23968486,-0.2396986,1.3079187,1.2845838,True,False
1,DBN,0.2676611,0.23609222,-0.23610435,1.3017986,1.2793975,True,False
2,DBN,0.2592235,0.23466146,-0.23467314,1.2993289,1.2773765,True,False
3,DBN,0.25203353,0.23412989,-0.23414163,1.2982408,1.2766331,True,False
4,DBN,0.24552669,0.23410484,-0.23411693,1.2978811,1.2765868,True,False
5,DBN,0.23952915,0.23436983,-0.23438233,1.2979296,1.276931,False,True
