epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,SDBN,0.36092812,0.26166412,-0.26168063,1.3186538,1.3134139,True,False
1,SDBN,0.2982986,0.25291258,-0.25292858,1.3068624,1.3008584,True,False
2,SDBN,0.2853926,0.24951255,-0.24952735,1.3021725,1.295968,True,False
3,SDBN,0.2748161,0.24809907,-0.24811295,1.3001751,1.2939175,True,False
4,SDBN,0.26560318,0.24763438,-0.24764803,1.2994592,1.2932103,True,False
5,SDBN,0.25735146,0.24766299,-0.24767655,1.2994035,1.2931952,False,True
