epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,DCTR,0.4430609,0.27323762,-0.2732541,1.3292874,1.3292874,True,False
1,DCTR,0.3053359,0.26171365,-0.26173156,1.312658,1.312658,True,False
2,DCTR,0.2924418,0.2575244,-0.25754166,1.3064154,1.3064154,True,False
3,DCTR,0.2821854,0.2558016,-0.2558185,1.3038077,1.3038077,True,False
4,DCTR,0.273383,0.25518385,-0.25520077,1.3028126,1.3028126,True,False
5,DCTR,0.26556444,0.25512072,-0.25513756,1.3026252,1.3026252,True,False
6,DCTR,0.25848442,0.25534537,-0.2553624,1.3028578,1.3028578,False,True
