epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,CM,1.1045094,0.94139874,-0.94154483,1.3249481,2.8223386,True,False
1,CM,1.0958937,0.9397795,-0.93992555,1.3221756,2.817637,True,False
2,CM,1.0921655,0.9390724,-0.9392177,1.3217144,2.8154733,True,False
3,CM,1.0889535,0.9387262,-0.93887174,1.3220545,2.8143804,True,False
4,CM,1.086072,0.93856734,-0.93871284,1.3227762,2.813861,True,False
5,CM,1.083437,0.9385198,-0.9386652,1.323718,2.8136938,True,False
6,CM,1.0810015,0.93854517,-0.9386908,1.3247967,2.8137658,False,True
