epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,DCM,0.36627674,0.25901565,-0.25898954,1.3167179,1.3105893,True,False
1,DCM,0.30335262,0.25055474,-0.25052845,1.303827,1.2983286,True,False
2,DCM,0.29149407,0.24742696,-0.24739872,1.2989281,1.2937077,True,False
3,DCM,0.28186134,0.24614361,-0.24611352,1.2968506,1.2917672,True,False
4,DCM,0.273487,0.24573937,-0.24570733,1.2960871,1.291087,True,False
5,DCM,0.26598972,0.24579842,-0.24576417,1.2960044,1.2910669,False,True
