epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,DCTR,0.44627878,0.2694023,-0.26937965,1.3240736,1.3240736,True,False
1,DCTR,0.30944034,0.25755575,-0.25753215,1.3072466,1.3072466,True,False
2,DCTR,0.296456,0.25333443,-0.25330898,1.3010559,1.3010559,True,False
3,DCTR,0.2861336,0.25161466,-0.25158656,1.2984759,1.2984759,True,False
4,DCTR,0.27727634,0.25101197,-0.25098112,1.297511,1.297511,True,False
5,DCTR,0.26941654,0.25096372,-0.2509307,1.2973458,1.2973458,True,False
6,DCTR,0.26230425,0.25120205,-0.2511666,1.2975934,1.2975934,False,True
