epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,CM,1.1297565,0.90836203,-0.9080279,1.3175678,2.7065885,True,False
1,CM,1.1210741,0.90681165,-0.90647644,1.3148507,2.702192,True,False
2,CM,1.1173398,0.9061546,-0.9058195,1.3143799,2.7002177,True,False
3,CM,1.1141213,0.9058429,-0.9055086,1.3147023,2.699243,True,False
4,CM,1.111238,0.9057105,-0.90537703,1.3154062,2.6988068,True,False
5,CM,1.1086006,0.905685,-0.9053522,1.3163269,2.6987028,True,False
6,CM,1.106163,0.9057297,-0.9053975,1.3173825,2.6988199,False,True
