epoch,model,train_loss,val_loss,val_ll,val_ppl,val_cond_ppl,has_improved,should_stop
0,SDBN,0.36544403,0.2570613,-0.25704128,1.3123988,1.3073092,True,False
1,SDBN,0.3024436,0.24833447,-0.24831548,1.3007591,1.2949376,True,False
2,SDBN,0.28942972,0.24499512,-0.2449743,1.2961665,1.2901578,True,False
3,SDBN,0.27877584,0.24363084,-0.24360776,1.2942402,1.2881862,True,False
4,SDBN,0.2695051,0.24319692,-0.24317144,1.2935666,1.2875222,True,False
5,SDBN,0.2612109,0.2432427,-0.243215,1.2935303,1.2875268,False,True
